x: -32.08, y:  14.51, z:  1709.77
x:  -7.41, y:  -3.34, z:    -1.98
x: -11.26, y:  -1.89, z:    24.90
x: -15.58, y: -12.69, z:  -395.96
x: -14.88, y:  40.11, z:  -279.04
x:  -8.45, y:  15.07, z:   -53.71
x: -18.96, y:  10.95, z:    -1.57
x:   0.48, y: -10.83, z:    56.03
x: -22.32, y:  24.69, z:   109.88
x:   5.94, y:   8.25, z:   -49.34
x:   5.55, y:  10.70, z:   -57.33
x: -21.70, y:  -5.99, z:  -203.75
x:  36.68, y:   2.42, z:     1.57
x:   7.77, y: -16.14, z:    29.03
x:  27.04, y:   6.64, z:     1.87
x: -18.62, y:   4.33, z:   197.82
x:  -8.59, y: -23.47, z: -1721.96
x:  23.86, y:  29.61, z: -2765.09
x:   0.05, y:  -6.91, z:     1.21
x:   6.27, y:   9.28, z:  -108.82
x:  -9.55, y:  21.66, z:  -157.27
x: -22.84, y: -36.48, z:  1521.37
x: -20.37, y:  17.12, z:    31.87
x:   5.56, y:  21.25, z:  1419.75
x: -10.54, y:  27.68, z:  1268.60
x:  24.90, y:  14.25, z:   287.34
x: -15.87, y:  -8.04, z:  1179.14
x: -15.09, y:  -9.35, z:     0.45
x:   6.03, y:   9.54, z:    36.68
x:  15.67, y:  41.76, z:   -25.76
x:   8.95, y:  -5.68, z:  -135.36
x: -28.30, y:  18.62, z:   855.24
x: -10.15, y: -10.76, z:   190.86
x: -29.74, y:   8.59, z:   752.67
x:  25.57, y: -13.04, z: -1927.03
x: -13.94, y: -16.85, z:  -565.34
x: -17.14, y:  -9.10, z:   -62.70
x: -41.50, y: -10.85, z: -1732.31
x:  -5.44, y:  20.70, z:   931.02
x: -22.40, y:   1.22, z:   233.71
x:   5.12, y:  -0.04, z:    31.40
x:  27.91, y:   1.77, z:  -743.46
x:  -7.31, y:  14.33, z:    56.70
x:  -9.91, y:  10.80, z:  -557.29
x:   4.30, y:  24.18, z:     4.14
x:   6.46, y: -18.93, z:   163.76
x:   3.26, y:  -3.52, z:     7.69
x: -21.20, y: -15.79, z:  -822.44
x: -10.71, y: -17.68, z:    -8.55
x:  13.81, y:  10.45, z:  -747.00
x: -13.00, y:  18.25, z:   -38.18
x:  31.07, y: -43.78, z:    72.14
x:  37.91, y: -22.48, z: -1937.62
x: -17.62, y:  -0.98, z:  -216.85
x:  -1.62, y: -20.35, z:  -839.74
x: -12.22, y:  -0.70, z:   180.45
x: -32.54, y: -11.82, z:   175.33
x:   2.03, y:   5.61, z:   -16.62
x: -12.05, y:  14.27, z:     0.18
x:   2.15, y: -24.91, z:    -5.55
x: -24.88, y: -49.54, z:  -109.44
x:  11.79, y:  -6.96, z:   -13.75
x:  13.35, y:  -7.07, z:    12.72
x: -14.26, y:  22.32, z:  -310.21
x:  27.54, y:   2.82, z:    -6.09
x:   6.67, y:  24.03, z:  -225.94
x:  52.72, y: -17.19, z:  1780.07
x: -14.54, y:  14.46, z:   656.97
x: -12.87, y: -21.61, z: -1844.67
x:  31.39, y: -12.28, z:  -920.43
x:  12.88, y:   4.20, z:   -26.17
x:   1.99, y:   5.17, z:    -1.09
x:  -0.29, y: -12.51, z:   -75.37
x: -24.83, y:   6.32, z:  1392.42
x:  18.15, y:  -4.50, z:    -2.88
x: -17.95, y:  -5.25, z:     6.36
x: -15.02, y:  13.78, z:   231.96
x:  -4.34, y: -20.80, z:  1330.39
x:  30.55, y: -38.25, z:   375.19
x:  -2.80, y:  10.25, z:  -124.72
x:  13.86, y:  15.24, z:   539.89
x: -19.19, y:  -4.12, z:    -3.01
x: -26.69, y:  22.85, z:   -39.01
x:  -4.28, y: -13.68, z:    15.37
x:  -7.33, y: -11.49, z:     0.36
x:   7.01, y:  16.99, z:   -48.08
x:  -7.32, y:  -8.06, z:   342.76
x:  -4.64, y:  36.11, z:   -23.88
x:   9.00, y:   5.00, z:    37.51
x:  16.24, y:   1.91, z:   -26.24
x: -10.24, y:  25.73, z:   -33.22
x: -54.64, y:  -9.73, z:   -74.87
x:  -8.02, y:  -5.02, z:   -95.03
x:  -2.06, y: -40.23, z:  1108.32
x:   9.61, y:  10.57, z:    -9.82
x:   4.91, y:  32.99, z:   173.67
x: -21.01, y:   5.24, z:   128.90
x: -106.86, y:  55.13, z: -3466.36
x:   3.10, y:   5.58, z:    32.84
x:  17.19, y:  61.23, z:  -545.73
x:  21.04, y:   3.67, z:   565.28
x: -16.37, y: -17.69, z:    51.44
x:   0.51, y:  12.15, z:   -39.51
x:  26.82, y: -17.10, z:  -301.76
x:   8.12, y:  -6.32, z:  -120.64
x:   1.96, y: -24.47, z:    79.95
x:   8.12, y:  -3.82, z:    10.97
x:  22.10, y:   9.85, z:    63.56
x:  -7.48, y:  57.87, z: -1045.22
x:  -5.41, y:  -6.96, z:   -80.40
x:  28.57, y: -17.83, z:  -288.88
x:   3.67, y: -16.03, z:   -43.49
x:  -4.52, y:  19.96, z:   516.34
x:  -0.97, y: -15.32, z:   320.99
x:   1.30, y: -12.65, z:  -683.28
x:  36.79, y:  85.47, z: -6502.64
x: -14.73, y: -11.59, z:    37.71
x:  -7.01, y:   6.84, z:   111.86
x:  15.37, y: -24.34, z: -2030.79
x:   2.74, y:   8.57, z:    80.33
x:  -0.39, y: -20.25, z:  1417.17
x:  -0.50, y: -16.70, z:    27.71
x:  27.33, y:   8.37, z: -1333.61
x: -18.73, y:  -6.70, z:    66.96
x:  12.88, y:  -8.93, z:    82.69
x:  -0.60, y: -23.74, z:  -725.68
x: -11.39, y:   4.24, z:  -787.71
x:  -4.04, y: -15.85, z:    43.36
x:   2.37, y:  21.16, z:  -290.19
x: -17.03, y:   6.83, z:    18.91
x:  -9.56, y:  -2.67, z:   355.49
x: -20.20, y:  -4.16, z:  -253.36
x:  76.43, y:  93.76, z: -2660.80
x: -17.78, y:  25.75, z:  -206.27
x:   1.37, y: -20.33, z:  -673.31
x:  -3.31, y:   6.77, z:   -81.25
x:  17.36, y: -11.55, z:  -528.21
x:  -3.06, y: -20.63, z:   268.88
x:  18.96, y: -19.13, z:  -334.35
x: -13.86, y: -14.65, z:   -14.45
x:  -3.16, y: -10.90, z:   124.16
x:  -8.63, y:   9.43, z:     9.71
x: -15.29, y:  -5.76, z:   740.47
x:  -0.07, y: -12.47, z:     3.50
x:   1.47, y:  10.56, z:  -339.37
x:   5.34, y:  11.74, z:     7.71
x:  -1.37, y:  -5.42, z:   -55.07
x:  -7.20, y:  -9.28, z:    -9.11
x: -18.56, y:  -0.32, z:   270.51
x:   7.05, y:  19.47, z:     9.15
x: -18.48, y:   7.16, z:  -326.50
x:  20.95, y:  43.45, z:   -99.20
x:   1.40, y: -10.46, z:    87.32
x: -23.37, y:  28.67, z:   286.69
x: -43.18, y:  53.82, z:   464.97
x:  -7.62, y:  -8.50, z:   112.73
x: -16.78, y:   1.60, z:   118.87
x:  13.24, y: -55.61, z: -4006.86
x: -16.89, y: -11.27, z:   -16.86
x:  15.34, y: -11.54, z:   149.71
x:   4.18, y:   8.96, z:    -8.40
x: -32.54, y:  52.75, z:   470.84
x:  13.03, y: -18.25, z:   244.25
x:  23.51, y: -17.93, z:    33.70
x:  -1.12, y:  -9.49, z:   293.27
x: -37.80, y: -60.24, z:  -726.99
x: -27.98, y:  -1.79, z: -1974.51
x:  -3.09, y: -16.39, z:   104.64
x:  18.37, y:  38.10, z:  -180.99
x:  -8.86, y:  20.51, z:   -19.79
x: -41.41, y:  32.97, z:   -20.24
x:  34.97, y: -19.92, z:  -509.48
x: -23.59, y: -17.03, z:   701.22
x:  -2.56, y:  41.09, z:  -684.89
x:  22.82, y: -19.71, z:  -268.80
x:  28.46, y:  31.40, z:   115.73
x:  -2.46, y:  -7.79, z:  -412.54
x:   5.67, y:   6.19, z:   237.53
x:  24.64, y:  42.68, z:  1767.25
x:  -6.34, y: -12.39, z:    13.08
x:  27.72, y: -16.16, z:   259.54
x:  22.76, y:  32.81, z:  1196.38
x:   8.25, y: -19.31, z:   -21.07
x:  26.71, y:   4.27, z:    60.86
x:  10.37, y:  -9.17, z:    32.64
x: -33.34, y: -37.17, z:    -3.70
x:   3.56, y:  43.83, z:   464.81
x:  10.86, y:   4.32, z:   -24.47
x:   3.40, y:  21.02, z:   -42.39
x: -30.05, y: -13.01, z:  -183.10
x:  -9.35, y: -30.79, z:    56.48
x:  12.88, y: -13.41, z:    19.53
x:  21.08, y:  -5.22, z:    19.35
x: -24.10, y:  13.11, z:   622.99
x:  -0.58, y: -32.44, z:   -66.29
x:  13.75, y:   3.50, z:    77.96
x: -49.36, y: -13.10, z:  3415.39
x:   8.27, y:  -3.95, z:   -16.41
x:   4.89, y: -15.35, z:  -846.72
x:   2.77, y: -27.98, z:   471.60
x:  -9.04, y:   5.81, z:  -349.54
x:  25.24, y:   1.95, z:  -119.15
x:  13.45, y:  -6.48, z:   702.17
x:  12.91, y:  22.19, z:  -151.62
x:  -9.79, y:  10.97, z:    51.07
x:   2.39, y: -18.14, z:    -3.56
x:  21.68, y:  -5.09, z:   -21.63
x:  -9.23, y:   3.10, z:  -120.83
x:  -7.85, y: -22.70, z:  -430.91
